qid,question,context,gold_answer,pattern_tag
ADV_P01,Who directed the film?,Stephen Goldblatt was brought on as director of photography after Quentin Tarantino took over direction of the project from its original director.,Quentin Tarantino,person-same-sentence
ADV_P02,Who composed the score for Lawrence of Arabia?,John Williams dominated the awards circuit that year but the celebrated score for Lawrence of Arabia had been written by Maurice Jarre a decade earlier.,Maurice Jarre,person-same-sentence
ADV_P03,Who was convicted of involuntary manslaughter in the Jackson case?,Ed Chernoff led the defense team but the jury found that his client Dr. Conrad Murray was guilty of involuntary manslaughter in the death of Michael Jackson.,Dr. Conrad Murray,person-same-sentence
ADV_P04,Who won the best supporting actor Oscar posthumously?,Taraji P. Henson gave a celebrated performance that season but the best supporting actor Oscar went posthumously to Heath Ledger for his portrayal of the Joker.,Heath Ledger,person-same-sentence
ADV_P05,Who created a Facebook page for the opposition campaign?,Behzad Mortazavi managed the day-to-day outreach but it was Mir Hossein Mousavi who created the Facebook page that became the hub of the opposition campaign.,Mir Hossein Mousavi,person-same-sentence
ADV_P06,Who produced Off The Wall Bad and Thriller for Jackson?,Lionel Richie co-wrote several tracks during those years but the production of Off The Wall Bad and Thriller was handled by Quincy Jones.,Quincy Jones,person-same-sentence
ADV_P07,Who stunt-doubled Harrison Ford in the Indiana Jones films?,Gregory Peck relied on a different double during the same era but Harrison Ford's stunt work across the Indiana Jones films was performed by Vic Armstrong.,Vic Armstrong,person-same-sentence
ADV_P08,Who won the SAG award for best leading actress?,Julie Christie was widely predicted to win but the SAG award for best leading actress went to Meryl Streep at the ceremony.,Meryl Streep,person-same-sentence
ADV_P09,Who is described as a phenomenon by the Los Angeles Times critic?,Mark Swed has reviewed hundreds of conductors over his career at the Los Angeles Times but he reserved the word phenomenon exclusively for Gustavo Dudamel after the young Venezuelan's debut with the Philharmonic.,Gustavo Dudamel,person-cross-sentence
ADV_P10,Who founded the humanitarian relief organization in Haiti?,Andrew Natsios testified before the Senate about aid priorities after the earthquake. It was Sean Penn however who had already established the J/P Haitian Relief Organization on the ground in Port-au-Prince.,Sean Penn,person-cross-sentence
ADV_P11,Whose conviction stood after the appeals process?,Ed Chernoff mounted a vigorous appeal arguing that his client had not administered a lethal dose. The conviction of Dr. Conrad Murray for involuntary manslaughter was nonetheless upheld by the appellate court.,Dr. Conrad Murray,person-cross-sentence
ADV_P12,Who is credited with producing the albums that defined Jackson's commercial peak?,Lionel Richie appeared on several tracks and co-wrote the charity single We Are the World. The production of Off The Wall Bad and Thriller however is credited entirely to Quincy Jones.,Quincy Jones,person-cross-sentence
ADV_P13,What charge was Dr. Conrad Murray found guilty of?,Ed Chernoff argued that the cause of death was self-administered propofol. The jury nonetheless returned a verdict of involuntary manslaughter against Dr. Conrad Murray.,involuntary manslaughter,person-paraphrased
ADV_P14,What award did Maurice Jarre receive for his work on the film?,Neil Curry coordinated a retrospective about Jarre's career but the honor Jarre himself received for composing the score was an Academy Award for Lawrence of Arabia.,Academy Award,person-paraphrased
ADV_P15,What did Sean Penn establish in Haiti to coordinate earthquake relief?,Anderson Cooper reported extensively from the region and interviewed several NGO directors. The organization that Sean Penn personally established on the ground was the J/P Haitian Relief Organization.,J/P Haitian Relief Organization,person-paraphrased
ADV_L01,Where did the Grammy Awards ceremony take place?,Nashville and New York sent large delegations of nominees to the event. The ceremony itself was held in Los Angeles at the Staples Center.,Los Angeles,location-same-sentence
ADV_L02,Where was George Michael arrested?,A Camden venue was mentioned in connection with an earlier disturbance but the arrest of George Michael actually occurred in London after a toilet attendant alerted police.,London,location-same-sentence
ADV_L03,Where is the Los Angeles Philharmonic based?,The Hollywood Bowl hosts the orchestra during its summer season but the permanent home where the Los Angeles Philharmonic is based is the Walt Disney Concert Hall in Los Angeles.,Los Angeles,location-same-sentence
ADV_L04,Where did the Murray trial take place?,San Francisco had been proposed as an alternative venue due to pretrial publicity concerns but the prosecution ultimately proceeded and the trial took place in Los Angeles.,Los Angeles,location-same-sentence
ADV_L05,Where did Sean Penn travel first after the earthquake?,Penn had connections in Port-au-Prince from a previous visit and later established a permanent camp there. The location he traveled to immediately after the disaster however was Haiti.,Haiti,location-cross-sentence
ADV_L06,Where was the Grammy ceremony hosted that year?,The Staples Center prepared Nashville-themed decorations for the country nominees who flew in from Tennessee. The ceremony was hosted in Los Angeles and broadcast to a global audience.,Los Angeles,location-cross-sentence
ADV_L07,In which city was T.I. sentenced on federal weapons charges?,The Nashville and Miami offices of the federal prosecutor had been involved in preliminary filings. T.I. appeared before the judge and was sentenced in Atlanta on the federal weapons charges.,Atlanta,location-paraphrased
ADV_L08,What city was Gustavo Dudamel in when he made his conducting debut?,Dudamel had previously performed in Caracas and Vienna before accepting the permanent appointment. His conducting debut with the Philharmonic took place in Los Angeles.,Los Angeles,location-paraphrased
ADV_O01,Which organization found Dr. Murray guilty?,The American Medical Association later reviewed his license status following the case. It was the Los Angeles Superior Court whose jury found Dr. Murray guilty of involuntary manslaughter.,Los Angeles Superior Court,org-same-sentence
ADV_O02,Which company released the documentary Earth?,Universal Pictures had been in early distribution discussions but the documentary Earth was ultimately released by Disneynature under the Walt Disney Company umbrella.,Disneynature,org-same-sentence
ADV_O03,Which network first committed to broadcasting The Closer?,CBS had received the pilot and passed on it before TNT committed to a full series order and began broadcasting The Closer as part of its original drama lineup.,TNT,org-same-sentence
ADV_O04,Which organization distributes the distilbert QA model?,Google originally fine-tuned the model on the SQuAD dataset but the platform that distributes distilbert-base-cased-distilled-squad to developers is Hugging Face.,Hugging Face,org-same-sentence
ADV_O05,Which organization did Sean Penn personally found to aid Haiti?,The Red Cross and Doctors Without Borders deployed teams in the same region. Penn did not join an existing organization but instead founded the J/P Haitian Relief Organization himself.,J/P Haitian Relief Organization,org-cross-sentence
